Lat(y);Long(x);PGA
-26.500;18.000;0.0174
-26.250;18.000;0.0152
-26.000;18.000;0.0143
-25.750;18.000;0.0133
-25.500;18.000;0.0122
-25.250;18.000;0.0132
-25.000;18.000;0.0148
-24.750;18.000;0.0224
-24.500;18.000;0.0219
-24.250;18.000;0.0250
-24.000;18.000;0.0482
-23.750;18.000;0.0428
-23.500;18.000;0.0348
-23.250;18.000;0.0271
-23.000;18.000;0.0204
-22.750;18.000;0.0193
-22.500;18.000;0.0195
-22.250;18.000;0.0189
-22.000;18.000;0.0178
-21.750;18.000;0.0162
-21.500;18.000;0.0138
-21.250;18.000;0.0090
-21.000;18.000;0.0001
-35.000;18.250;0.1083
-34.750;18.250;0.0983
-34.500;18.250;0.0940
-34.250;18.250;0.1075
-34.000;18.250;0.1152
-33.750;18.250;0.1178
-33.500;18.250;0.1177
-33.250;18.250;0.1181
-33.000;18.250;0.1178
-32.750;18.250;0.1127
-32.500;18.250;0.0772
-32.250;18.250;0.0567
-32.000;18.250;0.0385
-31.750;18.250;0.0359
-31.500;18.250;0.0336
-31.250;18.250;0.0327
-31.000;18.250;0.0348
-30.750;18.250;0.0377
-30.500;18.250;0.0401
-30.250;18.250;0.0417
-30.000;18.250;0.0470
-29.750;18.250;0.0533
-29.500;18.250;0.0584
-29.250;18.250;0.0580
-29.000;18.250;0.0476
-28.750;18.250;0.0430
-28.500;18.250;0.0381
-28.250;18.250;0.0336
-28.000;18.250;0.0287
-27.750;18.250;0.0274
-27.500;18.250;0.0253
-27.250;18.250;0.0225
-27.000;18.250;0.0201
-26.750;18.250;0.0190
-26.500;18.250;0.0172
-26.250;18.250;0.0160
-26.000;18.250;0.0149
-25.750;18.250;0.0146
-25.500;18.250;0.0144
-25.250;18.250;0.0141
-25.000;18.250;0.0160
-24.750;18.250;0.0214
-24.500;18.250;0.0201
-24.250;18.250;0.0204
-24.000;18.250;0.0213
-23.750;18.250;0.0235
-23.500;18.250;0.0430
-23.250;18.250;0.0652
-23.000;18.250;0.0257
-22.750;18.250;0.0226
-22.500;18.250;0.0204
-22.250;18.250;0.0193
-22.000;18.250;0.0183
-21.750;18.250;0.0171
-21.500;18.250;0.0150
-21.250;18.250;0.0109
-21.000;18.250;0.0109
-35.000;18.500;0.1082
-34.750;18.500;0.0918
-34.500;18.500;0.0990
-34.250;18.500;0.1136
-34.000;18.500;0.1173
-33.750;18.500;0.1188
-33.500;18.500;0.1183
-33.250;18.500;0.1184
-33.000;18.500;0.1187
-32.750;18.500;0.1147
-32.500;18.500;0.0946
-32.250;18.500;0.0746
-32.000;18.500;0.0520
-31.750;18.500;0.0378
-31.500;18.500;0.0356
-31.250;18.500;0.0342
-31.000;18.500;0.0347
-30.750;18.500;0.0387
-30.500;18.500;0.0407
-30.250;18.500;0.0436
-30.000;18.500;0.0453
-29.750;18.500;0.0493
-29.500;18.500;0.0524
-29.250;18.500;0.0556
-29.000;18.500;0.0537
-28.750;18.500;0.0492
-28.500;18.500;0.0454
-28.250;18.500;0.0368
-28.000;18.500;0.0317
-27.750;18.500;0.0285
-27.500;18.500;0.0268
-27.250;18.500;0.0229
-27.000;18.500;0.0208
-26.750;18.500;0.0198
-26.500;18.500;0.0189
-26.250;18.500;0.0176
-26.000;18.500;0.0172
-25.750;18.500;0.0179
-25.500;18.500;0.0188
-25.250;18.500;0.0200
-25.000;18.500;0.0209
-24.750;18.500;0.0209
-24.500;18.500;0.0197
-24.250;18.500;0.0197
-24.000;18.500;0.0191
-23.750;18.500;0.0195
-23.500;18.500;0.0203
-23.250;18.500;0.0250
-23.000;18.500;0.0581
-22.750;18.500;0.0297
-22.500;18.500;0.0264
-22.250;18.500;0.0202
-22.000;18.500;0.0186
-21.750;18.500;0.0173
-21.500;18.500;0.0155
-21.250;18.500;0.0123
-21.000;18.500;0.0064
-35.000;18.750;0.1059
-34.750;18.750;0.0929
-34.500;18.750;0.1099
-34.250;18.750;0.1156
-34.000;18.750;0.1187
-33.750;18.750;0.1189
-33.500;18.750;0.1189
-33.250;18.750;0.1193
-33.000;18.750;0.1196
-32.750;18.750;0.1146
-32.500;18.750;0.0916
-32.250;18.750;0.0823
-32.000;18.750;0.0492
-31.750;18.750;0.0388
-31.500;18.750;0.0354
-31.250;18.750;0.0347
-31.000;18.750;0.0363
-30.750;18.750;0.0393
-30.500;18.750;0.0430
-30.250;18.750;0.0447
-30.000;18.750;0.0477
-29.750;18.750;0.0496
-29.500;18.750;0.0535
-29.250;18.750;0.0574
-29.000;18.750;0.0598
-28.750;18.750;0.0569
-28.500;18.750;0.0480
-28.250;18.750;0.0402
-28.000;18.750;0.0330
-27.750;18.750;0.0293
-27.500;18.750;0.0261
-27.250;18.750;0.0237
-27.000;18.750;0.0208
-26.750;18.750;0.0203
-26.500;18.750;0.0194
-26.250;18.750;0.0189
-26.000;18.750;0.0196
-25.750;18.750;0.0208
-25.500;18.750;0.0252
-25.250;18.750;0.0266
-25.000;18.750;0.0296
-24.750;18.750;0.0305
-24.500;18.750;0.0273
-24.250;18.750;0.0204
-24.000;18.750;0.0189
-23.750;18.750;0.0189
-23.500;18.750;0.0197
-23.250;18.750;0.0202
-23.000;18.750;0.0215
-22.750;18.750;0.0256
-22.500;18.750;0.0278
-22.250;18.750;0.0778
-22.000;18.750;0.0256
-21.750;18.750;0.0180
-21.500;18.750;0.0155
-21.250;18.750;0.0129
-21.000;18.750;0.0090
-35.000;19.000;0.1063
-34.750;19.000;0.0976
-34.500;19.000;0.1089
-34.250;19.000;0.1173
-34.000;19.000;0.1190
-33.750;19.000;0.1207
-33.500;19.000;0.1232
-33.250;19.000;0.1275
-33.000;19.000;0.1269
-32.750;19.000;0.1173
-32.500;19.000;0.1080
-32.250;19.000;0.0937
-32.000;19.000;0.0705
-31.750;19.000;0.0400
-31.500;19.000;0.0356
-31.250;19.000;0.0352
-31.000;19.000;0.0362
-30.750;19.000;0.0393
-30.500;19.000;0.0421
-30.250;19.000;0.0464
-30.000;19.000;0.0481
-29.750;19.000;0.0508
-29.500;19.000;0.0568
-29.250;19.000;0.0694
-29.000;19.000;0.0749
-28.750;19.000;0.0741
-28.500;19.000;0.0672
-28.250;19.000;0.0546
-28.000;19.000;0.0469
-27.750;19.000;0.0350
-27.500;19.000;0.0296
-27.250;19.000;0.0253
-27.000;19.000;0.0232
-26.750;19.000;0.0209
-26.500;19.000;0.0206
-26.250;19.000;0.0205
