       Lat(y)	    Long(x)	   Modified Mercalli Intensity
       -27.050      27.950         5.5132
       -27.000      27.950         5.7532
       -26.950      27.950         5.9371
       -26.900      27.950         6.0731
       -26.850      27.950         6.1636
       -26.800      27.950         6.2338
       -26.750      27.950         6.3024
       -26.700      27.950         6.3874
       -26.650      27.950         6.4884
       -26.600      27.950         6.6124
       -26.550      27.950         6.7595
       -26.500      27.950         6.8864
       -26.450      27.950         6.9868
       -26.400      27.950         7.0530
       -26.350      27.950         7.0859
       -26.300      27.950         7.0913
       -26.250      27.950         7.0656
       -26.200      27.950         7.0086
       -26.150      27.950         6.9184
       -26.100      27.950         6.7951
       -26.050      27.950         6.6311
       -26.000      27.950         6.4188
       -25.950      27.950         6.1537
       -25.900      27.950         5.8364
       -25.850      27.950         5.4860
       -25.800      27.950         5.2370
       -25.750      27.950         5.2234
       -25.700      27.950         5.2524
       -25.650      27.950         5.2337
       -25.600      27.950         5.1786
       -25.550      27.950         5.0813
       -25.500      27.950         4.9215
       -25.450      27.950         4.7281
       -25.400      27.950         4.4808
       -25.350      27.950         4.1088
       -25.300      27.950         3.4527
       -25.250      27.950         0.0100
       -25.200      27.950         0.0100
       -25.150      27.950         0.0100
       -25.100      27.950         0.0100
       -25.050      27.950         0.0100
       -25.000      27.950         0.0100
       -24.950      27.950         0.0001
       -24.900      27.950         0.0001
       -27.100      28.000         5.1705
       -27.050      28.000         5.4982
       -27.000      28.000         5.7428
       -26.950      28.000         5.9255
       -26.900      28.000         6.0620
       -26.850      28.000         6.1476
       -26.800      28.000         6.2117
       -26.750      28.000         6.2537
       -26.700      28.000         6.2863
       -26.650      28.000         6.3353
       -26.600      28.000         6.4465
       -26.550      28.000         6.5892
       -26.500      28.000         6.7235
       -26.450      28.000         6.8411
       -26.400      28.000         6.9410
       -26.350      28.000         7.0092
       -26.300      28.000         7.0439
       -26.250      28.000         7.0466
       -26.200      28.000         7.0146
       -26.150      28.000         6.9489
       -26.100      28.000         6.8444
       -26.050      28.000         6.6941
       -26.000      28.000         6.4882
       -25.950      28.000         6.2171
       -25.900      28.000         5.8791
       -25.850      28.000         5.4668
       -25.800      28.000         5.0256
       -25.750      28.000         4.8870
       -25.700      28.000         4.8951
       -25.650      28.000         4.8766
       -25.600      28.000         4.8178
       -25.550      28.000         4.7044
       -25.500      28.000         4.5454
       -25.450      28.000         4.3342
       -25.400      28.000         4.0412
       -25.350      28.000         3.3791
       -25.300      28.000         0.0100
       -25.250      28.000         0.0100
       -25.200      28.000         0.0100
       -25.150      28.000         0.0100
       -25.100      28.000         0.0100
       -25.050      28.000         0.0100
       -25.000      28.000         0.0100
       -24.950      28.000         0.0100
       -24.900      28.000         0.0100
       -27.100      28.050         5.1239
       -27.050      28.050         5.4569
       -27.000      28.050         5.6988
       -26.950      28.050         5.8843
       -26.900      28.050         6.0245
       -26.850      28.050         6.1138
       -26.800      28.050         6.1724
       -26.750      28.050         6.1995
       -26.700      28.050         6.2000
       -26.650      28.050         6.2093
       -26.600      28.050         6.3063
       -26.550      28.050         6.4556
       -26.500      28.050         6.6143
       -26.450      28.050         6.7645
       -26.400      28.050         6.8896
       -26.350      28.050         6.9813
       -26.300      28.050         7.0349
       -26.250      28.050         7.0570
       -26.200      28.050         7.0447
       -26.150      28.050         6.9900
       -26.100      28.050         6.8964
       -26.050      28.050         6.7537
       -26.000      28.050         6.5526
       -25.950      28.050         6.2875
       -25.900      28.050         5.9427
